pdb_id,pdb_path,chain1,chain2,lig_code,lig_smiles,lig_resi
SARS-b0196a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0196a.pdb,A,A,LIG,O=C(Cc1cncc2ccccc12)N1CCC(C2CC2)CC1,410
SARS-b0196b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0196b.pdb,B,B,LIG,O=C(Cc1cncc2ccccc12)N1CCC(C2CC2)CC1,602
SARS-b0198a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0198a.pdb,A,A,LIG,CC1(F)CCN(C(=O)Cc2cncc3ccccc23)CC1,410
SARS-b0198b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0198b.pdb,B,B,LIG,CC1(F)CCN(C(=O)Cc2cncc3ccccc23)CC1,602
SARS-b0199a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0199a.pdb,A,A,LIG,O=C(Cc1cncc2ccccc12)N1CCC(F)(F)CC1,410
SARS-b0199b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0199b.pdb,B,B,LIG,O=C(Cc1cncc2ccccc12)N1CCC(F)(F)CC1,602
SARS-b0200a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0200a.pdb,A,A,LIG,COC1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1,410
SARS-b0200b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0200b.pdb,B,B,LIG,COC1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1,602
SARS-b0203a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0203a.pdb,A,A,LIG,C[C@H]1CCN(C(=O)Cc2cncc3ccccc23)[C@@H](C(F)(F)F)C1,410
SARS-b0203b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0203b.pdb,B,B,LIG,C[C@H]1CCN(C(=O)Cc2cncc3ccccc23)[C@@H](C(F)(F)F)C1,602
SARS-b0205a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0205a.pdb,A,A,LIG,C[C@@H]1CN(C(=O)Cc2cncc3ccccc23)CC[C@@H]1C,410
SARS-b0205b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0205b.pdb,B,B,LIG,C[C@@H]1CN(C(=O)Cc2cncc3ccccc23)CC[C@@H]1C,602
SARS-b0206a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0206a.pdb,A,A,LIG,COCCC1CCN(C(=O)Cc2cncc3ccccc23)CC1,410
SARS-b0206b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0206b.pdb,B,B,LIG,COCCC1CCN(C(=O)Cc2cncc3ccccc23)CC1,602
SARS-b0207a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0207a.pdb,A,A,LIG,CO[C@H]1CCN(C(=O)Cc2cncc3ccccc23)C[C@H]1C,410
SARS-b0207b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0207b.pdb,B,B,LIG,CO[C@H]1CCN(C(=O)Cc2cncc3ccccc23)C[C@H]1C,602
SARS-b0208a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0208a.pdb,A,A,LIG,O=C(Cc1cncc2ccccc12)N1C[C@@H]2[C@H](C1)[C@@H]2C(F)(F)F,410
SARS-b0208b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0208b.pdb,B,B,LIG,O=C(Cc1cncc2ccccc12)N1C[C@@H]2[C@H](C1)[C@@H]2C(F)(F)F,602
